timestamp,heat_214_4_55
1609459200,6671
1609460100,5786
1609461000,5895
1609461900,6002
1609462800,6121
1609463700,6204
1609464600,6238
1609465500,6294
1609466400,6360
1609467300,6437
1609468200,6513
1609469100,6561
1609470000,6625
1609470900,6669
1609471800,6719
1609472700,6755
1609473600,6799
1609474500,6868
1609475400,6902
1609476300,6971
1609477200,7035
1609478100,7077
1609479000,7111
1609479900,7150
1609480800,7197
1609481700,7216
1609482600,7264
1609483500,7301
1609484400,7385
1609485300,7408
1609486200,7346
1609487100,7203
1609488000,7120
1609488900,7117
1609489800,7081
1609490700,6988
1609491600,6812
1609492500,6751
1609493400,6566
1609494300,6338
1609495200,6204
1609496100,6093
1609497000,6389
1609497900,6300
1609498800,6033
1609499700,5736
1609500600,5698
1609501500,5654
1609502400,5648
1609503300,5661
1609504200,5859
1609505100,6227
1609506000,6360
1609506900,6193
1609507800,5866
1609508700,5862
1609509600,5882
1609510500,6151
1609511400,6511
1609512300,6448
1609513200,6472
1609514100,6760
1609515000,6579
1609515900,6523
1609516800,6652
1609517700,6371
1609518600,6552
1609519500,6851
1609520400,6705
1609521300,6426
1609522200,6609
1609523100,6710
1609524000,6665
1609524900,6950
1609525800,6956
1609526700,6973
1609527600,6951
1609528500,6944
1609529400,6733
1609530300,6692
1609531200,7004
1609532100,6990
1609533000,6801
1609533900,6548
1609534800,6773
1609535700,7045
1609536600,7053
1609537500,6860
1609538400,6563
1609539300,6753
1609540200,6842
1609541100,6567
1609542000,6594
1609542900,6602
1609543800,6617
1609544700,6620
1609545600,6818
1609546500,7089
1609547400,7090
1609548300,7073
1609549200,7047
1609550100,7070
1609551000,7071
1609551900,7085
1609552800,7102
1609553700,7087
1609554600,7090
1609555500,7096
1609556400,7116
1609557300,7137
1609558200,7164
1609559100,7180
1609560000,7179
1609560900,7190
1609561800,7173
1609562700,7192
1609563600,7168
1609564500,7204
1609565400,7220
1609566300,7228
1609567200,7216
1609568100,7177
1609569000,7174
1609569900,7172
1609570800,7152
1609571700,7096
1609572600,7030
1609573500,7041
1609574400,7094
1609575300,7117
1609576200,7087
1609577100,6891
1609578000,6512
1609578900,6409
1609579800,6547
1609580700,6649
1609581600,6421
1609582500,6466
1609583400,6438
1609584300,6334
1609585200,6299
1609586100,6368
1609587000,6444
1609587900,6385
1609588800,6336
1609589700,6388
1609590600,6100
1609591500,5987
1609592400,6116
