timestamp,heat_212_4_55
1609459200,6449
1609460100,5568
1609461000,5771
1609461900,5786
1609462800,5810
1609463700,5927
1609464600,5956
1609465500,6086
1609466400,6282
1609467300,6242
1609468200,6245
1609469100,6311
1609470000,6371
1609470900,6542
1609471800,6536
1609472700,6470
1609473600,6564
1609474500,6626
1609475400,6728
1609476300,6725
1609477200,6554
1609478100,6582
1609479000,6691
1609479900,6763
1609480800,6886
1609481700,6898
1609482600,6873
1609483500,6990
1609484400,7151
1609485300,7057
1609486200,6893
1609487100,6806
1609488000,6742
1609488900,6842
1609489800,6913
1609490700,6477
1609491600,5847
1609492500,5834
1609493400,6183
1609494300,6458
1609495200,6260
1609496100,5935
1609497000,5583
1609497900,5715
1609498800,5930
1609499700,5733
1609500600,5378
1609501500,5280
1609502400,5334
1609503300,5595
1609504200,5843
1609505100,5990
1609506000,5923
1609506900,5530
1609507800,5724
1609508700,6126
1609509600,6192
1609510500,6232
1609511400,6086
1609512300,5865
1609513200,6188
1609514100,6580
1609515000,6604
1609515900,6288
1609516800,5955
1609517700,6080
1609518600,6278
1609519500,6600
1609520400,6451
1609521300,6066
1609522200,6003
1609523100,6303
1609524000,6650
1609524900,6692
1609525800,6514
1609526700,6110
1609527600,6045
1609528500,6341
1609529400,6660
1609530300,6457
1609531200,6108
1609532100,6030
1609533000,6451
1609533900,6900
1609534800,6291
1609535700,5709
1609536600,6177
1609537500,6488
1609538400,6882
1609539300,6888
1609540200,6563
1609541100,6465
1609542000,6883
1609542900,6981
1609543800,6897
1609544700,6647
1609545600,6595
1609546500,6904
1609547400,6958
1609548300,6909
1609549200,6781
1609550100,6822
1609551000,6951
1609551900,6941
1609552800,6859
1609553700,6829
1609554600,6852
1609555500,6960
1609556400,7011
1609557300,6891
1609558200,6858
1609559100,6959
1609560000,6999
1609560900,6911
1609561800,6812
1609562700,6864
1609563600,6938
1609564500,7036
1609565400,7001
1609566300,6847
1609567200,6783
1609568100,6794
1609569000,6784
1609569900,6772
1609570800,6847
1609571700,6813
1609572600,6751
1609573500,6757
1609574400,6610
1609575300,6456
1609576200,6663
1609577100,6549
1609578000,6106
1609578900,5960
1609579800,5842
1609580700,6112
1609581600,6622
1609582500,6727
1609583400,6391
1609584300,6074
1609585200,6590
1609586100,6747
1609587000,6721
1609587900,6495
1609588800,6441
1609589700,6748
1609590600,6830
1609591500,6868
1609592400,6589
1609593300,6500
1609594200,6884
1609595100,6925
1609596000,6739
1609596900,6634
1609597800,7001
1609598700,7142
1609599600,7195
1609600500,7186
1609601400,7157
1609602300,7002
1609603200,6969
1609604100,7040
1609605000,6753
1609605900,7057
1609606800,7441
1609607700,7187
1609608600,6829
1609609500,6839
1609610400,7059
1609611300,7394
1609612200,7197
1609613100,6824
1609614000,6815
1609614900,7090
1609615800,7201
1609616700,6941
1609617600,7176
1609618500,7483
1609619400,7558
1609620300,7560
1609621200,7496
1609622100,7530
1609623000,7619
1609623900,7626
1609624800,7307
1609625700,7185
1609626600,7572
1609627500,7641
1609628400,7579
1609629300,7376
1609630200,7271
1609631100,7583
1609632000,7640
1609632900,7614
1609633800,7508
1609634700,7509
1609635600,7641
1609636500,7657
1609637400,7568
1609638300,7529
1609639200,7538
1609640100,7610
1609641000,7654
1609641900,7562
1609642800,7449
1609643700,7506
1609644600,7629
1609645500,7591
1609646400,7469
1609647300,7456
1609648200,7421
1609649100,7449
1609650000,7552
1609650900,7486
1609651800,7376
1609652700,7422
1609653600,7391
1609654500,7360
1609655400,7398
1609656300,7386
1609657200,7315
1609658100,7149
1609659000,7055
1609659900,7025
1609660800,7100
1609661700,6919
1609662600,6616
1609663500,6474
1609664400,6364
1609665300,6416
1609666200,6378
1609667100,6326
1609668000,6498
1609668900,6701
1609669800,6499
1609670700,6689
1609671600,7012
1609672500,6737
1609673400,6512
1609674300,6512
1609675200,6358
1609676100,6585
1609677000,6294
1609677900,6250
1609678800,6095
1609679700,5992
1609680600,6121
1609681500,6055
1609682400,5998
1609683300,6308
1609684200,6506
1609685100,6319
1609686000,6378
1609686900,6328
1609687800,6507
1609688700,6680
1609689600,6385
1609690500,6634
1609691400,6969
1609692300,6936
1609693200,6950
1609694100,6980
1609695000,6971
1609695900,6997
1609696800,6976
1609697700,6955
1609698600,6984
1609699500,6962
1609700400,6971
1609701300,6999
1609702200,6988
1609703100,7003
1609704000,7006
1609704900,6983
1609705800,7022
1609706700,7016
1609707600,7016
1609708500,7054
1609709400,7019
1609710300,6789
1609711200,6378
1609712100,6334
1609713000,6715
1609713900,7005
1609714800,7006
1609715700,7062
1609716600,7043
1609717500,7062
1609718400,7118
1609719300,7090
1609720200,7099
1609721100,7088
1609722000,7088
1609722900,7133
1609723800,7099
1609724700,7110
1609725600,7112
1609726500,7068
1609727400,7122
1609728300,7114
1609729200,7080
1609730100,7131
1609731000,7084
1609731900,7088
1609732800,7130
1609733700,7077
1609734600,7097
1609735500,7052
1609736400,7003
1609737300,7113
1609738200,7100
1609739100,7129
1609740000,7161
1609740900,7108
1609741800,7036
1609742700,6886
1609743600,6884
1609744500,6884
1609745400,6800
1609746300,6884
1609747200,6869
1609748100,6713
1609749000,6706
1609749900,6534
1609750800,6278
1609751700,6394
1609752600,6448
1609753500,6690
1609754400,6971
1609755300,6963
1609756200,7000
1609757100,6951
1609758000,6930
1609758900,6763
1609759800,6642
1609760700,6966
1609761600,6999
1609762500,6641
1609763400,6493
1609764300,6704
1609765200,6445
1609766100,6480
1609767000,6700
1609767900,7046
1609768800,7100
1609769700,7093
1609770600,7147
1609771500,7182
1609772400,7256
1609773300,7305
1609774200,7306
1609775100,7316
1609776000,7100
1609776900,7044
1609777800,7350
1609778700,7326
1609779600,7336
1609780500,7141
1609781400,7056
1609782300,7361
1609783200,7036
1609784100,6882
1609785000,6988
1609785900,6535
1609786800,6611
1609787700,6703
1609788600,6954
1609789500,7081
1609790400,6805
1609791300,6726
1609792200,6599
1609793100,6926
1609794000,7408
1609794900,7361
1609795800,7368
1609796700,7418
1609797600,7414
1609798500,7447
1609799400,7454
1609800300,7450
1609801200,7437
1609802100,7410
1609803000,7454
1609803900,7433
1609804800,7435
1609805700,7450
1609806600,7422
1609807500,7456
1609808400,7440
1609809300,7419
1609810200,7458
1609811100,7435
1609812000,7477
1609812900,7471
1609813800,7473
1609814700,7515
1609815600,7471
1609816500,7489
1609817400,7462
1609818300,7428
1609819200,7477
1609820100,7476
1609821000,7474
1609821900,7490
1609822800,7440
1609823700,7480
1609824600,7472
1609825500,7482
1609826400,7510
1609827300,7465
1609828200,7407
1609829100,7300
1609830000,7255
1609830900,7108
1609831800,7104
1609832700,7275
1609833600,7219
1609834500,7072
1609835400,6995
1609836300,6764
1609837200,6486
1609838100,6569
1609839000,6902
1609839900,7202
1609840800,7110
1609841700,6844
1609842600,6464
1609843500,6690
1609844400,7056
1609845300,6785
1609846200,6643
1609847100,6961
1609848000,6990
1609848900,7049
1609849800,7026
1609850700,7055
1609851600,7036
1609852500,7005
1609853400,7031
1609854300,7046
1609855200,7099
1609856100,7140
1609857000,7130
1609857900,7218
1609858800,7270
1609859700,7282
1609860600,7335
1609861500,7077
1609862400,6985
1609863300,7341
1609864200,7303
1609865100,7320
1609866000,7278
1609866900,7300
1609867800,7321
1609868700,7269
1609869600,7296
1609870500,7123
1609871400,7010
1609872300,7114
1609873200,6833
1609874100,7008
1609875000,7030
1609875900,6599
1609876800,6833
1609877700,7238
1609878600,7239
1609879500,7254
1609880400,7304
1609881300,7340
1609882200,7309
1609883100,7345
1609884000,7403
1609884900,7377
1609885800,7392
1609886700,7160
1609887600,7059
1609888500,7361
1609889400,7337
1609890300,7364
1609891200,7366
1609892100,7333
1609893000,7372
1609893900,7375
1609894800,7379
1609895700,7393
1609896600,7352
1609897500,7396
1609898400,7388
1609899300,7418
1609900200,7437
1609901100,7407
1609902000,7433
1609902900,7389
1609903800,7391
1609904700,7440
1609905600,7445
1609906500,7465
1609907400,7424
1609908300,7382
1609909200,7388
1609910100,7320
1609911000,7192
1609911900,7178
1609912800,7300
1609913700,7369
1609914600,7345
1609915500,7419
1609916400,7408
1609917300,7329
1609918200,7329
1609919100,7366
1609920000,7300
1609920900,7165
1609921800,7121
1609922700,6948
1609923600,6553
1609924500,6535
1609925400,6513
1609926300,6711
1609927200,7141
1609928100,7143
1609929000,7141
1609929900,6868
1609930800,6734
1609931700,6817
1609932600,6666
1609933500,6681
1609934400,6525
1609935300,6898
1609936200,6929
1609937100,6630
1609938000,6511
1609938900,6621
1609939800,6350
1609940700,6368
1609941600,6623
1609942500,7010
1609943400,7060
1609944300,7119
1609945200,7024
1609946100,6728
1609947000,6919
1609947900,7036
1609948800,6739
1609949700,6959
1609950600,7260
1609951500,7255
1609952400,7269
1609953300,7246
1609954200,7275
1609955100,7090
1609956000,7040
1609956900,7323
1609957800,7288
1609958700,7312
1609959600,7085
1609960500,6956
1609961400,6979
1609962300,6566
1609963200,6877
1609964100,7318
1609965000,7335
1609965900,7360
1609966800,6901
1609967700,6714
1609968600,7067
1609969500,6997
1609970400,7403
1609971300,7422
1609972200,7428
1609973100,7409
1609974000,7382
1609974900,7417
1609975800,7409
1609976700,7433
1609977600,7435
1609978500,7390
1609979400,7427
1609980300,7404
1609981200,7413
1609982100,7395
1609983000,7378
1609983900,7414
1609984800,7360
1609985700,7398
1609986600,7411
1609987500,7400
1609988400,7416
1609989300,7360
1609990200,7375
1609991100,7331
1609992000,7336
1609992900,7395
1609993800,7332
1609994700,7375
1609995600,7361
1609996500,7353
1609997400,7383
1609998300,7273
1609999200,7201
1610000100,7188
1610001000,7225
1610001900,7291
