timestamp,heat_213_4_55
1609459200,6530
1609460100,5609
1609461000,5730
1609461900,5842
1609462800,5973
1609463700,6026
1609464600,6097
1609465500,6200
1609466400,6226
1609467300,6199
1609468200,6221
1609469100,6306
1609470000,6418
1609470900,6516
1609471800,6500
1609472700,6347
1609473600,6255
1609474500,6283
1609475400,6341
1609476300,6392
1609477200,6439
1609478100,6491
1609479000,6538
1609479900,6668
1609480800,6866
1609481700,6958
1609482600,7005
1609483500,7057
1609484400,7047
1609485300,6938
1609486200,6719
1609487100,6532
1609488000,6468
1609488900,6269
1609489800,6044
1609490700,5647
1609491600,5088
1609492500,4965
1609493400,4854
1609494300,4344
1609495200,3852
1609496100,4285
1609497000,4814
1609497900,4854
1609498800,5197
1609499700,5611
1609500600,5685
1609501500,5721
1609502400,5839
1609503300,5871
1609504200,5847
1609505100,5922
1609506000,6054
1609506900,6083
1609507800,5974
1609508700,5914
1609509600,5989
1609510500,6044
1609511400,6133
1609512300,6282
1609513200,6355
1609514100,6024
1609515000,5617
1609515900,5631
1609516800,5661
1609517700,6048
1609518600,6210
1609519500,5768
1609520400,5831
1609521300,5781
1609522200,6013
1609523100,6502
1609524000,6505
1609524900,6467
1609525800,6457
1609526700,6427
1609527600,6418
1609528500,6422
1609529400,6396
1609530300,6430
1609531200,6293
1609532100,5875
1609533000,5768
1609533900,6168
1609534800,6726
1609535700,6855
1609536600,6873
1609537500,6913
1609538400,6919
1609539300,6928
1609540200,6934
1609541100,6919
1609542000,6943
1609542900,6977
1609543800,6966
1609544700,6962
1609545600,7003
1609546500,7000
1609547400,6980
1609548300,7000
1609549200,6982
1609550100,6785
1609551000,6666
1609551900,6896
1609552800,6970
1609553700,6990
1609554600,6992
1609555500,7020
1609556400,7053
1609557300,7049
1609558200,7045
1609559100,6847
1609560000,6388
1609560900,6213
1609561800,6500
1609562700,6867
1609563600,7017
1609564500,7039
1609565400,7065
1609566300,7057
1609567200,7041
1609568100,7046
1609569000,7023
1609569900,6978
1609570800,6962
1609571700,6890
1609572600,6834
1609573500,6868
